Rbr;Tekst;Odgovor;Tezina
29;Neki smatraju da je to aluzija na besmislene, prve dječje riječi, dok jedna priča kaže da su 1916. godine njemački pjesnici Richard Huelsenbeck i Hugo Ball jedne večeri u francusko-njemački riječnik zabili nož čija je oštrica ostala na kojoj četveroslovnoj riječi u značenju"drveni konjić" i tako nadjenula ime novom umjetničkom pravcu?;DADA(izam);3
30;Uz koji se poluotok vezuje jedinstveni sustav glazbene notacije jeong-gan-bo, prvi istočnoazijski glazbeni sustav koji je notnim zapisom prikazao ritam, dinamiku i mjeru, nastao u vrijeme Se-jonga Velikog?;KOREJSKI;4
31;Kako se zove dio pisanog teksta u nekoj kazališnoj drami u kojem se nalaze kratki opisi scena, likova te općenito upute glumcima i redateljima, uvijek pisan u kurzivu?;DIDASKALIJE;2
32;Koje je godišnje doba u naslovu Botticellijeva djela, personificirano likom Venere u pratnji triju muza, Merkura te Zefira, Klorise i Flore?;PROLJEĆE;2
33;Kako se prezivaju poznata literarna braća Dmitrij, Ivan i Aljoša u remek-djelu iz 1880. godine, ujedno i posljednjem autorovu romanu?;KARAMAZOV;2
34;Koji je Kurosawin film iz 1950. godine, nastao po kultnoj kratkoj priči, posebno zainteresirao zapadnu publiku za japansku kinematografiju te u japanskom filmu obnovio žanr jidai-geki, tradicionalnu povijesnu dramu?;RAŠOMON;3
35;Kći moćnog velikaša i hrvatskog bana Hermana II. Celjskog, a udana za cara a Žigmunda Luksemburškog, kako se zvala kraljica Hrvatske, Ugarske i Češke te carica Svetog Rimskog Carstva?;BARBARA Celjska;4
36;Uzrokovana devalvacijom meksičkog pesosa krajem 1994. godine, ekonomska kriza u Meksiku imala je snažne implikacije na ekonomije Brazila, Argentine i cijelog juga Latinske Amerike, što je kolokvijalno poznato kao efekt kojeg alkoholnog pića?;TEKILA;4
37;Kako se zove najstariji aktivni svjetionik na Jadranu te ujedno najsjeverniji u Hrvatskoj, izgrađen 1818. godine na istoimenom rtu?;SAVUDRIJA;5
38;Da bi burbon-viski bio burbon, mora biti proizveden u SAD-u i mora biti proizveden od smjese koja sadrži najmanje 51 % koje biljke iz porodice trava?;KUKURUZ;4
39;Dobivši krajem siječnja 2020. godine zadatak da osmisle ilustraciju koja će privući pozornost javnosti, Alissa Eckert i Dan Higgins su u obliku srebrnkaste kugle sa zagasitocrvenim bodljikama ("pipcima") napravili uvećani prikaz čega?;KORONAVIRUS (SARS-CoV-2);2
40;Koji je bivši australski plivač peterostruki zlatni olimpijac i s pet medalja najuspješniji na Olimpijskim igrama u Sidneyju nosio nadimak"Thorpedo"?;Ian THORPE;3
41;Podrijetlom iz Andaluzije, kako se zove hladna juha s povrćem, najčešće na bazi rajčica?;GAZPACHO;3
42;Znanstvenog imena Macrocystis pyrifera, divovski kelp, koji može narasti i više od 30 metara, a u danu čak i do 60 cm, najveći je svjetski primjerak koje vrste organizama?;ALGE;2
43;Nazvane po škotskom fizičaru, pod kojim su nazivom poznate četiri temeljne jednadžbe elektromagnetizma koje povezuju električna i magnetska polja sa strujama i električnim nabojima koji stvaraju ta polja?;MAXWELLOVE jednadžbe;1
44;Koji grad, najnapučeniji na južnoj hemisferi, često nazivaju "New Yorkom Južne Amerike"?;SÃO PAULO;4
45;Za ime kojeg je Appleova proizvoda, predstavljena 2001. godine, Vinnie Chieco inspiraciju pronašao u jednoj frazi iz filma 2001: Odiseja u svemiru?;iPOD;3
46;Po kojoj se velikoj rijeci zvao savez šesnaest njemačkih država, utemeljen 1806. godine kao francuski protektorat, na čijem se čelu nalazio nadbiskup Mainza Karl T. A. M. von Dalberg?;RAJNA;4
47;Koji poznati dnevni sportski list, pokrenut 1896. godine, na naslovnici ima moto"Tutto il rosa della vita" i, simbolično, tiska se na ružičastom papiru?;La GAZZETTA DELLO SPORT;5
48;Jacquesa Offenbacha, Karla Millockera i Johanna Straussa mlađeg ponajprije vezujemo uz koji glazbeno-scenski oblik?;OPERETA;3
49;Kojoj popularnoj TV seriji uvodna pjesma svake epizode z počinje stihovima Our whole universe was in a /Then nearly fourteen billion years ago expansion started, wait/The Earth began to cool, the autotrophs began to  rock-benda Barenaked Ladies?;TEORIJA VELIKOG PRASKA / BIG BANG THEORY;1
50;Iskazavši minijaturnu umjetnost u bogatstvu invencije, dekoracijama i figuralnim prikazima te majstorskom crtežu, koji je hrvatski slikar iz 16. stoljeća prozvan"Michelangelom minijature"?;Juraj Julije KLOVIĆ;4
51;S koje su planine u Južnoj Dakoti Gutzon Borglum i nekoliko stotina radnika od 1927. do 1941. godine"uklonili" više od 400 tisuća tona granita kako bi isklesali monumentalno djelo sastavljeno od četiriju glava?;Mount RUSHMORE;2
52;Na sceni poznata pod svojim osobnim imenom, koje je nacionalnosti nagradivana kantautorica Anouk Teeuwe koja je 2013. Eurosongu?;NIZOZEMSKA;5
53;Iako je ostavio više od milijun riječi u tekstu, poznato je samo četrnaest riječi kojega pisca napisanih vlastitom rukom njegovo ime i prezime potpisano šest puta i riječi"od mene (by me)" na oporuci iz 1616. godine?;William SHAKESPEARE;2
54;Na UNESCO-ovu popisu kulturne baštine od 1987. godine, na sjeveru koje se države nalazi selo Hollókő, jedno od najznamenitijih srednjovjekovnih mjesta, živi primjer ruralnog života prije agrarne revolucije u 20. stoljeću?;MAĐARSKA;4
55;Vjenčanje koje je, tada dvadesetogodišnje kraljice, 1840. godine pokrenulo trend bijelih vjenčanica?;VIKTORIJA;3
56;Koji je hrvatski grad – u vrijeme talijanske vladavine poznat kao Abbazia 1931. godine ugostio lokalnu autoutrku, nazvanu Preluk po dubokoj uvali u blizini, a 1939. natjecanje je, uz svesrdnu podršku Benita Mussolinija, dobilo međunarodni karakter i u kalendaru automotoutrka bilo organizirano sve do 1977.?;OPATIJA;3
57;Koji se latinski naziv skraćenog oblika a. a. koristi za oznaku na spisima koji bi se, obično nakon rješenja, trebali pohraniti u arhivu? U drugom kontekstu znači odložiti ili napustiti nešto kao dovršeno ili nevažno.;AD ACTA;2
58;Pružajući psihoanalitički uvid u religiju, tko je u svom djelu Budućnost jedne iluzije (Die Zukunft einer Illusion) iz 1927. godine napisao da su vjerska uvjerenja "rođena iz čovjekove potrebe da svoju bespomoćnost učini prihvatljivom", a da je sama religija "ispunjenje najstarijih i najjačih žudnji ljudskoga roda"?;Sigmund FREUD;3
59;U kojem je sportu, koji je čak sedam puta bio demonstracijski a ljetnim olimpijskim igrama, od 1992. godine po broju medalja najuspješnija reprezentacija Kube?;BEJZBOL;5
60;Koju povijesnu osobu u glavnoj ulozi tumači Gerard Depardieu u filmu Ridleyja Scotta 1492.: Osvajanje raja?;Kristof KOLUMBO;3
61;U kojoj se Bellinijevoj operi radnja događa u Galiji 100. godine poslije Krista, u vrijeme kada druidi svećenički stalež Kelta pripremaju ustanak protiv Rimljana, a velika je druidska svećenica prekršila svećenički zavjet čistoće i zaljubila se u Poliona, rimskog prokonzula u Galiji?;NORMA;5
62;Uz Roberta i Soniju Delaunay slikar František Kupka bio je rani i najznačajniji predstavnik kojega umjetničkog pravca oblika analitičkog kubizma?;ORFIZAM;5
63;Kako se zove čehoslovačka animirana serija o dvojici nespretnih, ali maštovitih majstora, nastala sredinom sedamdesetih godina 20. stoljeća?;A JE TO/PAT I MAT;1
64;Koji je kultni redatelj u svojoj autobiografiji Moj posljednji uzdah, nakon što je njegov film Diskretni šarm buržoazije osvojio Oscara za najbolji film izvan engleskoga govornog područja, šaleći se kako mu je i bio namijenjen, napisao:"Amerikanci imaju nedostataka, ali su ljudi od riječi."?;Luis BUÑUEL Portolés;4
65;Utemeljeno 1992. godine u provinciji Gauteng, naselje Kleinfontein trenutačno ima oko 1300 stanovnika, isključivo bijelaca koji njeguju svoj jezik i manjinsku kulturu, a funkcionira kao svojevrsna enklava na sjeveroistoku koje države?;Republika JUŽNA AFRIKA;3
66;Kojim nazivom francuskog podrijetla zovemo osobu koja kod igara na sreću pomaže bankaru u kockarnici koji dijeleći karte, kupeći novac i manipulirajući žetonima ili namještenika upravlja igrom?;KRUPJE;2
67;U kojoj je atletskoj skakačkoj disciplini danas zabranjena tehnika"volzing" koju je osamdesetih godina popularizirao David Volz?;SKOK S MOTKOM;3
68;Koji se proces u kemiji definira kao difuzija kojom se izjednačuju koncentracije dviju otopina različitih koncentracija, međusobno odijeljenih polupropusnom membranom, tj. takvom koja propušta otapalo, ali zaustavlja otopljenu tvar?;OSMOZA;1
69;Megalodon je izumrla vrsta i predak koje današnje životinje, predatora iz porodice Lamnidae, čije ime znači "veliki zub"?;VELIKA BIJELA PSINA;2
70;Nazvan po britanskom premijeru iz 19. stoljeća, Stanley je glavni grad kojeg arhipelaga u južnom Atlantiku? Zračnu luku koja opslužuje Stanley otvorile su 1972. godine argentinske zračne snage.;FALKLANDSKO / MALVINSKO otočje;3
71;U kojem se stoljeću odvila Bitka kod Toursa (preciznije izmedu Toursa i Poitiersa), jedna od najvažnijih europskih bitaka, u kojoj su Franci porazili vojsku omejidskog zapovjednika Abdula Rahmana i tako spriječili arapsko prodiranje u srce Europe?;OSMO (732.);4
72;Poznato i kao tran, ulje koje se životinje gotovo do kraja 19. stoljeća koristilo u javnoj rasvjeti, kada je zamijenjeno kerozinom, čime je naftna industrija postala ključna za spas njihove populacije od eksploatacije i okrutne smrti?;KIT;3
73;U akcijsko-pustolovnoj videoigri Brütal Legend lik Kill Master mistik je koji živi na vrhu Thunderhorna, a svirajući bas-gitaru, ima moć iscjeljivanja. Pjevač kojega je benda posudio glas te ujedno bio inspiracija za njegov lik?;MOTÖRHEAD (Ian Kilmister);3
74;Većina radnje kojega je bildungsromana njemačkog nobelovca smještena u brdima nedaleko od Davosa, točnije u sanatoriju Berghof?;ČAROBNA GORA (Thomas Mann);4
75;Kojega je legendarnog kantautora Bob Johnston vidio kao "Mesiju s usnom harmonikom" te "jedinog proroka nakon Isusa"?;Bob DYLAN;3
76;S kojom afričkom državom svoje latinizirano prezime dijeli humanist i diplomat Toma, kojega je papa Leon X. kao svojega legata 1519. godine postavio na mjesto skradinskoga biskupa, odakle je obavljao niz uspješnih diplomatskih misija, među kojima se osobito ističe ona na dvoru Karla V. Habsburgovca u Bruxellesu?;NIGER;5
77;Na ikonskoj fotografiji Alberta Korde iz ožujka 1960. godine, originalnog naziva Guerrillero Heroico, nalazi se poprsje koje osobe?;Ernesto "CHE" GUEVARA;3
78;S kojom spiralnom galaksijom ime dijeli emisija koja više od dvadeset godina utorkom navečer u našem radijskom prostoru educira javnost i podiže svijest o svemiru i našemu mjestu u njemu?;ANDROMEDA;3
79;Nakon Mahéova krimića Angoroj, horor Leslieja Stevensa Incubus (Inkubo) iz 1966. godine drugi je film u potpunosti realiziran na kojem jeziku?;ESPERANTO;4
80;Nazvana prema lokalnom mitološkom biću, Tonton Macoute bila je posebna operativna i izrazito okrutna jedinica unutar paravojnih snaga, koju je nakon spriječenog državnog udara 1959. godine osnovao tadašnji predsjednik i diktator koje karipske države?;HAITI;4
81;Koji se dio pribora za crtanje, uz pšenicu i čekić, kao simbol intelektualaca nalazio u grbu Demokratske Republike Njemačke (Istočna Njemačka)?;ŠESTAR;3
82;Bivša južnoafrička plivačica Charlene Lynette Wittstock u srpnju 2011. godine postala je princeza udavši se za kojega monarha?;ALBERT II. Grimaldi / ALBERT OD MONAKA;4
83;Nastala kao stopljenica kontinenta i jedne filmske nagrade, kako se zove godišnja nagrada za najboljeg europskog košarkaša, koju su od 1979. godine najviše puta osvajali Arvydas Sabonis i Dirk Nowitzky?;EUROSCAR;5
84;Kada je ustanovljeno da za neke kvadratne jednadžbe (npr. x2 + 1 = 0) ne postoji rješenje u skupu realnih brojeva, uvedena je imaginarna jedinica i kojoj je osnovno svojstvo da njezin kvadrat (2) iznosi koji cijeli broj?;-1/MINUS 1;1
85;Budući da je recept stvoren dok se istraživalo grupe lopova i pljačkaša grobova u 14. stoljeću koji su se natrljali uljem da izbjegnu doticaj s kugom tijekom pljačke tijela mrtvih i umirućih, kako se zove mješavina eteričnih ulja limuna, klinčića, cukaliptusa, ružmarina i kore cimeta?;LOPOVSKO ulje;3
86;U pet kategorija jačine, Saffir-Simpsonova ljestvica koristi se za mjerenje i učinak koje prirodne pojave?;URAGAN/CIKLON;4
87;Jedan od pet temeljnih umaka francuske kuhinje, koji se smedi umak spravlja od zaprške brašna i masnoće s dodanim temeljcem (najčešće od govedih kostiju) i komadićima povrća te naposljetku pastom od rajčice?;ESPAGNOLE / ŠPANJOLSKI umak;4
88;Poema od 158 strofa Dionisiosa Solomosa Hymnos is tin Eleftherian uglazbljena je 1865. godine i od tada je službena himna Grčke. Koja još država od 1966. godine koristi tu tekstom najdužu himnu na svijetu kao svoju nacionalnu?;CIPAR;3
89;Liječnik i ministar u socijalističkim vladama Bernard Kouchner bio je, nakon posljedica odvajanja Biafre 1971. godine, jedan od osnivača koje međunarodne humanitarne organizacije za hitnu medicinsku pomoć ugroženim ljudskim skupinama širom svijeta?;LIJEČNICI BEZ GRANICA;4
90;Prema riječima Susan Orlean u njegovoj biografiji, koji je pas bio u igri" pri prvoj dodjeli Oscara za najboljega glumca prije negoli je Akademija odlučila da on ipak pripadne ljudskom biću -Emilu Janningsu? Traži se ime psa.;RIN TIN TIN;3
91;S obzirom na to da je još u djetinjstvu naučio Kur'an pod kojim je imenom poznatiji perzijski pjesnik iz 14. stoljeća Muhamed Šemsudin, čije je najvažnije djelo Divan, zbirka sastavljena od petstotinjak gazela profinjene izražajnosti?;HAFIZ;5
92;Koji je trodnevni glazbeni festival, održan 1967. godine uz nastupe Janis Joplin, Otisa Reddinga i Ravija Shankara, bio vrhunac kalifornijskog ljeta ljubavi?;MONTEREY Pop Festival;5
93;Za kojeg Isusova apostola i kasnijeg sveca u spisu Passio (Muka) piše da je umro mučeničkom smrću u Patrasu i da je razapet na križ u obliku slova X?;ANDRIJA;3
94;Muzej posvećen životu i djelu Paula Gauguina smješten je u mjestu Papeari koje se nalazi u južnom dijelu kojega otoka, najvećeg u otočju Društveni otoci (Îles de la Société) dijelu Francuske Polinezije?;TAHITI;4
95;Za crtani film Rabbit of Seville iz 1950. godine kompozitor Carl Stalling glazbu je temeljio na ulomcima iz operne uvertire kojega skladatelja (1792. 1868.)? Cijeli je glazbeni tijek ubrzan čime dobiva parodirani karakter i time u potpunosti odgovara tijeku radnje, nizu šala i zavrzlama koje Zekoslav Mrkva prireduje lovcu Elmeru.;Gioacchino ROSSINI (Seviljski brijač);3
96;S kojim alkaloidom iz skupine ksantina ime dijeli Googleov nadograđeni sustav za indeksiranje mrežne stranice, arhitektura nove generacije" u njihovu pretraživačkom stroju, dovršen sredinom 2010. godine?;KOFEIN (Caffeine);3
97;Objavljen u ožujku 2000. godine, album No Strings Attached kojega je boy banda s 2,4 milijuna prodanih primjeraka u prvom tjednu postao do tada najbrže prodavan američki album u povijesti?;NSYNC;2
98;Prema latinskom za"čudo", kako se zove vrsta srednjovjekovne sakralne drame u kojoj se prikazuju čudesni događaji iz života svetaca i mučenika?;MIRAKUL;3
99;Potaknuti sloganom "Pišite nam, ma gdje god bili, o čemu god", građani koje su komunističke države anonimno pisali pisma koja je više od dvadeset godina sve do 1975. BBC čitao u svojoj radijskoj emisiji Pisma bez potpisa?;ISTOČNA NJEMAČKA (DDR);3
100;Nazvana po staroj kineskoj državi uništenoj u 11. stoljeću pr. Kr., kako se zvala kineska dinastija koja je, uz mali prekid za vrijeme carice Wu Zetian, vladala Kinom od 618. do 907.?;TANG;5
101;Smješten izmedu Lopara, Krka, Prvića i Golog otoka, kako se zove drugi najzeleniji otok na Jadranu, na kojem je od 1948. do 1988. godine bio kazneno-popravni dom za žene?;SVETI GRGUR;4
102;Kako se zvao "NLO" religijski kult sa sjedištem u kalifornijskom San Diegu, koji su 1974. godine osnovali Marshall Applewhite i Bonnie Nettles? Pripremivši se za dosezanje razine "više od ljudske", svi pripadnici kulta 1997. godine počinili su samoubojstvo uzimanjem antiepileptičkog lijeka fenobarbitala u kombinaciji s votkom.;NEBESKA VRATA/ HEAVEN'S GATE;3
103;Za koju je nogometnu reprezentaciju nastupao trojac poznat kao Gre-No-Li (prema prezimenima), zvijezde talijanskog Milana pedesetih godina 20. stoljeća?;ŠVEDSKA (Gren, Nordahl, Liedholm);4
104;Nazvan po atičkom junaku koji je ubio Minotaura i njegovu e paradoks prema kojem vrijedi pitanje, ako su objektu zamijenjeni svi njegovi dijelovi, je li to još uvijek isti objekt", referirajući se upravo na brod čiji su gotovo svi truli dijelovi zamijenjeni novima kako bi se brom stanju?;TEZEJEV paradoks (paradoks Tezejeva broda);2
105;S ciljem zaštite stanovništva i stoke od zmija otrovnica ponajviše poskoka na otok Mljet državnom je intervencijom Austro-Ugarske Monarhije 1910. godine unesena zvijer iz koje prodice znanstvenog imena Herpestidae?;MUNGOS (indijski mali mungos);2
106;U kojoj je mačevalačkoj disciplini površina pogotka isključivo trup, a mora se pogoditi samo vrhom oružja?;FLORET;4
107;Slamnati šešir mokorotlo stožastog je oblika s čvorom na vrhu, a vjeruje se da mu je dizajn inspiriran oblikom brda Qiloane. U kojoj je državi taj šešir nacionalni simbol pa se njegov obris javljuje i na nacionalnoj zastavi?;LESOTO;4
108;Koja je krupna pasmina pasa nazvana po najstarijem gradu u njemačkoj saveznoj državi Baden-Württemberg? U 19. stoljeću najviše je uzgajana kao radni pas te kao tjerač stoke, no danas se više koristi za potragu i spašavanje.;ROTVAJLER/ ROTTWEILER;4
109;Povezujući udaljenost od 50 kilometara između Folkestonea i Coquellesa, "Eurotunnel" je dužinom treći željeznički tunel na svijetu, a većim je dijelom izgrađen ispod kojega morskog prolaza, najužeg dijela La Manchea?;DOVERSKA VRATA / PAS DE CALAIS;5
110;Kako se naziva politički dokument potpisan 3. listopada 1905. u Rijeci, u kojem hrvatski zastupnici podržavaju Mađarsku u borbi protiv Austrije, a uvjet za buduću suradnju jest ujedinjenje Hrvatske i Dalmacije te uvođenje ustavnih sloboda u Hrvatsku?;RIJEČKA REZOLUCIJA;4
111;Koji je starogrčki pjesnik"božanskog imena autor Argonautike, jedinog helenističkog epa sačuvanog do modernog doba?;APOLON(IJE) Rođanin;5
112;Među ostalim glazbeni direktor simfonijskog orkestra "Simon Bolivár", brojnim nagradama ovjenčan Gustavo Dudamel jedan je od najuglednijih dirigenata iz koje države?;VENEZUELA;5
113;U kojem je stoljeću nastao Njujorški misal, važan hrvatskoglagoljički misal pisan ili u okolici Zadra ili na ličko-krbavskom području, koji se danas čuva u njujorškoj knjižnici The Pierpont Morgan Library?;15. stoljeće (1400. 1410.);4
114;U kojem se gradu nalazi Malakološki muzej franjevačkog samostana, koji je 1963. godine utemeljio fra Jure Radić, najvažnije mjesto u Hrvatskoj s postavom morskih puževa i školjkaša Jadrana i cijeloga svijeta?;MAKARSKA;3
115;Kako se kod Židova zove obredni rog u koji se puše na blagdane Roš hašanu i Jom kipur, kako bi se grešnike pozvalo na pokoru?;ŠOFAR;4
116;Nazvan po naslovnom liku romana iz 1851. godine, kako se zove instrumental Led Zeppelina s njihova drugog studijskog albuma, u kojem je John Bonham izveo jednu od najdojmljivijih bubnjarskih solodionica?;MOBY DICK;4
117;Budući da se našla između dva bloka pa tako nije surađivala niti S jednim, Jugoslavija se tijekom pedesetih i šezdesetih godina okrenula uvozu filmova iz koje latinoameričke države? Alternativa se pokazala više nego uspješnom jer su filmovi bili jeftiniji i većina ih je progovarala o tamošnjoj revoluciji.;MEKSIKO;4
118;Nazvan prema vrsti bobičastog voća, koji je naslovni nadimak hrabrog i nesebičnog poručnika američke konjice Mikea S. Donovana, u hvaljenom vestern-stripu Jean-Michela Charliera i crtača Jeana"Moebiusa" Girauda?;BLUEBERRY;3
119;Kako se zove školjka poput klina zašiljene ljušture, endem Mediterana i nekad vrlo rasprostranjena na području cijelog Jadrana, gdje živi u obalnom pojasu na području pjeskovito-muljevitog dna? U Hrvatskoj je zaštićena Zakonom o zaštiti prirode, a vađenje i posjedovanje strogo je zabranjeno.;PERISKA/LOSTURA;2
120;Mimicin, antibiotik iz skupine antraciklina namijenjen uništavanju gram-pozitivnih bakterija, imenovan je u čast krojačice iz koje Puccinijeve opere praizvedene u veljači 1896.?;La BOHÈME;3
121;Prema nizozemskoj riječi korištenoj u srednjovjekovnim narodnim pričama za smedeg medvjeda, tadašnji menadžer Art Ross dao je nadimak "Bruins" momčadi NHL-a iz kojega grada?;BOSTON;2
122;Proučavajući pravilnosti u bogatstvu i prihodima, koji je talijanski ekonomist i sociolog u svom švicarskom laboratoriju 1897. godine došao do zaključka da 20 posto stanovništva u pravilu posjeduje 80 posto bogatstva?;Vilfredo PARETO;5
123;Što je to u ožujku 1966., samo sedam dana nakon krađe, u južkles dok je šetao sa svojim vlasnikom Davidom Corbettom i na nom dijelu Londona u grmlju pronašao četverogodišnji pas Pictaj način tri i pol mjeseca prije početka -"spasio stvar"?;TROFEJ JULESA RIMETA (SVJETSKOG NOGOMETNOG PRVENSTVA);5
124;Umijeće izradbe drvenih tradicijskih dječjih igračaka s područja koje je hrvatske geografsko-povijesne regije 2009. godine upisano na UNESCO-ov reprezentativni popis nematerijalne kulturne baštine čovječanstva?;Hrvatsko ZAGORJE;4
125;Osnovana tijekom zlatnog doba trgovine opijumom kako bi omogućila Britanskom Carstvu pristup na kinesko tržište, pod kojim je četveroslovnim akronimom poznata "najkineskija" od svih zapadnih banaka i "najeuropskija" među svim kineskim bankama?;HSBC;5
126;Kako se, prema životinjama koje se u vodi kreću vlastitom snagom, zvao projekt u sklopu kojega su se 1960. godine na dno Marijanske brazde spustili Don Walsh i Jacques Piccard?;NEKTON;5
127;Formalno utemeljenje koje je međunarodne organizacije proizašlo iz osmogodišnje Urugvajske runde pregovora, koja je uspješno okončana konferencijom i potpisivanjem sporazuma u marokanskom Marakešu u travnju 1994. godine?;WTO / SVJETSKA TRGOVINSKA ORGANIZACIJA;4
